sektor,industri,kode_emiten
Keuangan,G21,BBRI
Keuangan,G21,BBCA
Keuangan,G21,BMRI
Keuangan,G21,BBNI
Properti & Real Estate,H11,BSDE
Properti & Real Estate,H11,CTRA
Properti & Real Estate,H11,SMRA
Energi - Batubara,A12,ADRO
Energi - Batubara,A12,PTBA
Energi - Batubara,A12,ITMG
Energi - Batubara,A12,HRUM
Energi - Batubara,A12,INDY
Energi - Minyak & Gas,A11,MEDC
Barang Konsumen Primer,D21,INDF
Barang Konsumen Primer,D21,ICBP
Barang Konsumen Primer,D21,MYOR
Barang Konsumen Primer,D11,SMGR
Barang Konsumen Primer,D11,INTP
Transportasi & Logistik,K11,GIAA
Transportasi & Logistik,K21,TOBA
Transportasi & Logistik,K21,MBSS
Teknologi,I11,GOTO
Teknologi,I11,BUKA
Infrastruktur - Listrik,J41,POWR
